zipcode,total_pop,male,female,med_age,race_w,race_aa,race_nat,race_as,race_api,race_oth,eth_hisp,eth_nonhisp
52761,30619,15205,15414,37.8,28856,1504,255,493,11,603,5480,25139
60002,24066,12076,11990,43.3,22792,869,89,630,31,402,1662,22404
60004,50915,24193,26722,43,43996,738,79,5458,116,1597,4013,46902
60005,29539,15040,14499,43.8,24937,892,143,2961,0,1089,3163,26376
60007,33420,16504,16916,43.8,28444,532,245,3680,24,1500,4020,29400
60008,21833,10604,11229,37.4,15923,1179,325,1992,92,2976,5430,16403
60010,46087,22253,23834,47.7,39013,593,138,6109,139,722,1763,44324
60012,10958,5366,5592,47.1,10586,115,5,362,0,13,474,10484
60013,25827,13124,12703,40.6,24461,586,51,949,10,314,2240,23587
60014,48443,24343,24100,40.7,45754,860,360,1337,17,790,5975,42468
60015,27452,13323,14129,43.6,25020,336,90,2122,5,165,981,26471
60016,59637,28865,30772,41.7,40583,2545,531,14968,112,2022,8297,51340
60018,30386,15503,14883,38.3,23786,884,124,3640,39,2589,10662,19724
60020,9827,4482,5345,42.7,9312,135,35,215,0,256,854,8973
60021,5548,2677,2871,37.6,5436,0,43,199,0,95,428,5120
60022,8477,4196,4281,45.1,7993,162,0,379,0,5,456,8021
60025,41014,19786,21228,44.2,34500,720,104,6119,64,369,2721,38293
60026,14118,6931,7187,44.6,10953,224,16,3050,15,201,1139,12979
60029,560,300,260,38.4,529,1,0,30,0,2,47,513
60030,36817,18255,18562,40.9,32498,1470,205,2539,62,1236,4190,32627
60031,37172,18049,19123,39.3,28374,3285,430,5463,111,1147,4820,32352
60033,13681,6752,6929,34.1,12903,174,72,10,41,772,5605,8076
60034,2077,1082,995,42.3,1958,53,8,8,0,93,269,1808
60035,29734,14306,15428,46.6,27888,547,36,1092,10,685,2178,27556
60040,5366,2753,2613,37.8,4377,243,31,157,0,595,2570,2796
60041,8897,4348,4549,42.7,8535,99,23,84,144,122,1049,7848
60042,8420,4446,3974,40.6,8153,134,0,228,9,116,1113,7307
60043,2512,1273,1239,41.3,2367,31,20,152,0,0,71,2441
60044,10003,4642,5361,42.7,8616,151,62,1207,0,129,762,9241
60045,21131,10472,10659,46.6,18890,520,94,1836,7,142,1013,20118
60046,35286,17646,17640,40.3,32294,900,131,1733,17,858,3137,32149
60047,42637,21299,21338,42,36357,1008,145,5008,124,868,3441,39196
60048,29058,14196,14862,45.2,26453,511,148,2227,8,223,1245,27813
60050,32732,16272,16460,39.6,31357,365,156,589,0,677,4650,28082
60051,23298,11641,11657,41.1,22333,319,44,543,7,545,2285,21013
60053,23256,11532,11724,47.4,14791,713,16,7566,17,571,1452,21804
60056,55250,27755,27495,39.6,43000,1780,655,7432,49,3865,9331,45919
60060,37208,18979,18229,37.2,30081,737,159,4444,48,2756,11902,25306
60061,27004,13315,13689,39,19016,1185,176,6667,48,917,3280,23724
60062,40459,19008,21451,49.6,33430,850,107,6314,40,295,1265,39194
60064,15705,7782,7923,30.7,6595,6166,67,686,12,3192,7761,7944
60067,38177,18153,20024,44.4,30560,926,268,6339,66,1564,2882,35295
60068,37736,18368,19368,44.3,35465,298,0,2258,101,421,2283,35453
60069,8186,3900,4286,53.3,7216,95,5,978,0,40,237,7949
60070,16049,8298,7751,38.6,11175,336,0,1452,17,3236,5156,10893
60071,3581,1747,1834,41.7,3404,85,137,80,6,13,313,3268
60072,1021,530,491,46.6,968,12,0,37,0,4,21,1000
60073,61706,31573,30133,33.2,49654,4575,538,3925,169,4700,25342,36364
60074,39478,20116,19362,35,25520,1492,346,4229,26,9533,12601,26877
60076,31867,15177,16690,45.1,19174,3296,396,9906,173,908,3100,28767
