city_name,county_name,lat,long
Shabbona,DeKalb,41.7680851,-88.8770311
La Prairie,Adams,40.1478242,-91.002913
New Baden,Clinton,38.5350488,-89.7006499
Naplate,La Salle,41.3336449,-88.8781334
Long Lake,Lake,42.3708546,-88.1275828
Ellis Grove,Randolph,38.0089404,-89.9059408
Hord,Clay,38.8844898,-88.5211595
Bunker Hill,Macoupin,39.0428239,-89.951769
Stockland,Iroquois,40.6144809,-87.592803
Martinton,Iroquois,40.9158671,-87.7253124
Altona,Knox,41.1147594,-90.1645637
Aurora,Kane,41.7605849,-88.3200715
Highland Hills,DuPage,41.8491966,-88.004509
Wilmington,Greene,39.4806831,-90.4867659
Monroe Center,Ogle,42.0983583,-89.000655
Akin,Franklin,37.9881043,-88.7475606
Tower Lake,Lake,42.2319682,-88.1520248
Beach Park,Lake,42.4222435,-87.8572955
Staunton,Macoupin,39.0122684,-89.7912063
Chester,Randolph,37.9136628,-89.8220505
Colona,Henry,41.4839233,-90.3531827
Thayer,Sangamon,39.5381087,-89.7631533
Patoka,Marion,38.7553259,-89.0953417
Dwight,Livingston,41.0944767,-88.4250597
Port Byron,Rock Island,41.6064219,-90.3354061
Golden Gate,Wayne,38.3594924,-88.2042078
Round Lake Park,Lake,42.3569661,-88.0767474
Pesotum,Champaign,39.9147532,-88.2733827
Seward,Winnebago,42.2389105,-89.3578886
Schiller Park,Cook,41.9558637,-87.8708965
Kempton,Ford,40.9355888,-88.237273
University Park,Cook,41.5922565,-87.6853251
New Grand Chain,Pulaski,37.2519964,-89.0211814
Orangeville,Stephenson,42.4683453,-89.6440073
Volo,Lake,42.3261332,-88.167861
Hollowayville,Bureau,41.3650354,-89.2970323
Gardner,Grundy,41.1855879,-88.3097828
Park Forest,Cook,41.4914236,-87.6744891
Jewett,Cumberland,39.2078171,-88.2458744
Lisbon,Kendall,41.4814196,-88.482293
Maple Park,Kane,41.9075282,-88.5992494
Oak Brook,DuPage,41.8328085,-87.9289504
Cottonwood,Gallatin,37.8892127,-88.2130941
National City,Saint Clair,38.6456062,-90.160943
Valley City,Pike,39.7069913,-90.652627
Irvington,Washington,38.4392162,-89.1628512
Camargo,Douglas,39.8003105,-88.1639315
Gifford,Champaign,40.305868,-88.0211489
Omaha,Gallatin,37.8903243,-88.3030977
Atwood,Douglas,39.7994772,-88.4622789
McClure,Alexander,37.317828,-89.4314781
Matherville,Mercer,41.2597571,-90.6079133
Elburn,Kane,41.8922499,-88.4723014
Grafton,Jersey,38.9700484,-90.4315046
Grantfork,Madison,38.8300469,-89.6656453
Burnham,Cook,41.638924,-87.5567108
Shorewood,Will,41.5200305,-88.2017293
Danvers,McLean,40.5294818,-89.1773055
Minonk,Woodford,40.9044778,-89.0345224
Melrose Park,Cook,41.9005865,-87.8567277
Savanna,Carroll,42.0944672,-90.1567944
Lena,Stephenson,42.3794586,-89.8223426
