,vio_crime,murder_mansl,rape,robbery,agg_assault,prop_crime,burglary,lar_theft,car_theft,arson
Addison,61,1,18,6,36,464,65,361,38,4
Albany,1,0,1,0,0,6,2,4,0,0
Aledo,0,0,0,0,0,26,3,23,0,0
Alexis,0,0,0,0,0,15,7,4,4,0
Algonquin,27,0,7,4,16,265,18,243,4,0
Alsip,24,2,0,16,6,427,66,329,32,1
Altamont,2,0,1,0,1,38,13,25,0,1
Alton,171,8,26,25,112,994,228,703,63,8
Amboy,5,0,2,0,3,7,4,3,0,0
Anna,14,0,2,2,10,147,26,118,3,3
Annawan,1,0,0,0,1,8,0,8,0,0
Antioch,20,0,8,2,10,165,12,150,3,0
Arcola,7,0,0,0,7,7,5,2,0,0
Arlington Heights,28,0,10,6,12,628,68,535,25,1
Aroma Park,1,0,0,1,0,15,6,8,1,0
Arthur,3,0,0,1,2,15,5,10,0,0
Ashland,1,0,1,0,0,4,2,2,0,0
Ashton,0,0,0,0,0,2,2,0,0,0
Assumption,2,0,0,0,2,9,6,3,0,0
Athens,0,0,0,0,0,16,4,9,3,0
Auburn,2,0,0,0,2,7,2,5,0,0
Aurora,538,4,68,94,372,"2,301",319,"1,860",122,9
Aviston,2,0,2,0,0,1,1,0,0,0
Bannockburn,0,0,0,0,0,19,2,17,0,0
Barrington,1,0,0,1,0,124,9,111,4,0
Barrington Hills,1,0,0,0,1,23,3,20,0,0
Barry,0,0,0,0,0,11,6,5,0,0
Bartlett,21,0,5,8,8,169,11,150,8,2
Bartonville,16,0,5,2,9,200,37,151,12,0
Batavia,34,0,9,5,20,369,21,333,15,2
Beardstown,58,0,1,0,57,160,32,122,6,0
Beecher,4,0,2,0,2,25,4,21,0,0
Belgium,0,0,0,0,0,2,2,0,0,0
Belleville,171,2,38,41,90,"1,261",284,890,87,12
Belvidere,60,0,18,2,40,270,51,206,13,1
Bensenville,20,0,11,4,5,272,26,225,21,0
Berkeley,5,0,1,1,3,49,6,40,3,0
Berwyn,191,1,54,54,82,818,99,629,90,6
Bethalto,5,0,0,1,4,81,15,62,4,0
Bethany,1,0,0,1,0,11,7,4,0,0
Bloomingdale,32,0,1,5,26,488,36,448,4,0
Bloomington,339,9,68,37,225,"1,193",196,909,88,5
Blue Island,93,1,10,32,50,288,68,168,52,0
Bluffs,1,0,0,0,1,1,1,0,0,0
Bolingbrook,112,1,23,17,71,592,60,477,55,3
Bourbonnais,33,0,7,2,24,154,16,130,8,1
Bradley,17,0,3,3,11,442,31,403,8,2
Braidwood,11,0,5,0,6,45,9,33,3,2
Breese,2,0,0,0,2,28,0,28,0,0
Bridgeview,30,0,3,8,19,319,31,270,18,1
Brighton,1,0,0,0,1,5,1,3,1,0
Broadview,19,0,2,12,5,330,28,278,24,0
Brooklyn,7,0,1,3,3,18,3,11,4,0
Brookport,1,0,0,0,1,11,2,9,0,1
Buffalo Grove,7,0,2,1,4,268,42,216,10,0
Bunker Hill,1,0,0,0,1,22,5,16,1,1
Burbank,60,0,5,21,34,242,38,184,20,3
Burr Ridge,3,0,0,0,3,190,17,162,11,0
Byron,1,0,1,0,0,34,3,31,0,0
Cahokia,75,2,14,14,45,604,169,383,52,18
Calumet City,187,5,36,107,39,980,205,586,189,4
Cambridge,2,0,0,0,2,7,1,6,0,0
Campton Hills,1,0,0,0,1,17,2,15,0,0
Carbondale,111,0,27,26,58,760,114,613,33,10
Carlinville,21,0,3,1,17,230,37,187,6,2
Carlyle,6,0,0,0,6,44,1,42,1,0
Carol Stream,33,0,7,10,16,411,48,336,27,2
Carpentersville,34,0,10,17,7,496,48,433,15,2
Carrollton,15,0,1,0,14,25,5,18,2,0
Carterville,13,0,5,1,7,58,17,40,1,0
Carthage,2,0,1,0,1,23,6,16,1,0
Cary,20,0,7,4,9,110,17,91,2,0
Casey,8,0,2,0,6,21,7,13,1,0
Caseyville,38,0,6,1,31,50,8,33,9,0
Catlin,0,0,0,0,0,3,3,0,0,0
Centralia,157,1,28,19,109,499,151,296,52,5
Centreville,19,1,0,3,15,201,50,96,55,0
Champaign,602,7,72,83,440,"1,998",276,"1,637",85,10
Channahon,9,0,4,0,5,58,15,42,1,0
Charleston,29,0,8,3,18,61,24,36,1,1
Chatham,18,0,6,3,9,82,8,71,3,0
Chenoa,2,0,0,0,2,7,4,3,0,0
Cherry Valley,9,1,1,0,7,238,12,225,1,1
Chester,16,0,3,2,11,14,5,3,6,0
Chicago,"27,357",563,"1,798","9,684","15,312","86,513","11,686","64,695","10,132",438
Chicago Heights2,260,2,32,106,120,,,214,105,2
Chicago Ridge,18,0,2,9,7,358,15,328,15,0
Chillicothe,21,0,3,1,17,99,23,69,7,2
Christopher,15,0,0,0,15,19,2,16,1,0
Cicero,314,4,34,127,149,"1,770",364,"1,295",111,16
Clarendon Hills,7,0,0,0,7,42,9,31,2,0
Clinton,8,0,7,1,0,203,68,135,0,0
Coal City3,5,0,0,0,5,,3,,1,0
Coal Valley,9,0,4,0,5,73,8,61,4,0
Cobden,6,0,1,0,5,8,0,8,0,0
Colchester,0,0,0,0,0,1,0,1,0,0
Cortland,2,0,0,0,2,28,5,23,0,0
Country Club Hills,71,3,11,21,36,589,68,468,53,1
Cowden,0,0,0,0,0,5,1,4,0,0
Crest Hill,42,1,16,9,16,203,29,148,26,0
Crete,17,0,2,1,14,132,16,108,8,1
Crystal Lake,38,0,12,4,22,648,37,602,9,0
Dallas City,2,0,0,0,2,3,2,1,0,0
Dana,0,0,0,0,0,0,0,0,0,0
Danvers,0,0,0,0,0,2,0,2,0,0
Danville,559,12,53,103,391,"1,508",379,"1,052",77,15
Darien,25,2,10,1,12,231,23,199,9,0
Decatur,358,9,30,84,235,"2,050",618,"1,325",107,23
Deer Creek,3,0,1,1,1,13,9,4,0,0
Deerfield,4,1,1,1,1,137,16,115,6,0
DeKalb,228,0,45,31,152,"1,105",125,939,41,6
Delavan,2,0,0,0,2,44,22,21,1,0
De Soto,3,0,0,0,3,12,2,10,0,0
Des Plaines,39,1,6,12,20,725,65,623,37,2
Diamond,0,0,0,0,0,1,0,0,1,0
Divernon,0,0,0,0,0,6,0,5,1,0
Dixon,32,0,23,0,9,222,22,196,4,0
Downers Grove,49,0,15,9,25,563,71,466,26,3
Downs,2,0,1,0,1,5,0,5,0,0
Dupo,4,0,0,0,4,82,17,59,6,0
Du Quoin,14,0,2,0,12,43,13,22,8,0
Dwight,5,0,0,2,3,38,1,30,7,0
East Alton,29,0,13,7,9,231,33,186,12,0
East Dubuque,3,0,0,1,2,17,3,13,1,0
East Dundee,2,0,0,1,1,32,8,21,3,0
East Peoria,114,1,37,8,68,584,93,482,9,0
East St. Louis2,317,23,22,51,221,,198,,100,24
Edinburg,14,0,2,0,12,12,1,8,3,0
Edwardsville,13,0,0,5,8,185,14,168,3,0
Effingham,43,0,12,5,26,340,41,281,18,0
Elburn,0,0,0,0,0,13,6,7,0,0
Eldorado,12,0,0,3,9,87,32,50,5,0
Elgin,235,3,48,57,127,"1,713",172,"1,455",86,7
Elizabeth,0,0,0,0,0,5,1,4,0,0
Elk Grove Village,23,0,3,9,11,485,35,391,59,3
Elmhurst,23,0,6,9,8,445,63,372,10,0
Elmwood,2,0,0,0,2,10,3,7,0,0
Elmwood Park,54,0,6,16,32,250,53,182,15,2
Elwood,4,0,0,0,4,17,1,11,5,0
Energy,0,0,0,0,0,17,3,12,2,0
Erie,0,0,0,0,0,6,2,3,1,0
Eureka,11,0,2,0,9,34,2,30,2,0
Evanston,140,3,6,47,84,"1,702",289,"1,358",55,6
Evergreen Park,54,0,4,19,31,921,30,883,8,2
Fairfield,21,0,5,1,15,85,8,74,3,0
Fairmont City,3,0,1,0,2,15,6,6,3,0
Fairmount,0,0,0,0,0,3,0,3,0,0
Fairview Heights,67,1,18,6,42,695,56,615,24,1
Farmersville,0,0,0,0,0,0,0,0,0,0
Farmington,6,0,1,0,5,27,6,21,0,0
Findlay,0,0,0,0,0,1,0,1,0,0
Fisher,2,0,1,0,1,30,8,22,0,0
Fithian,0,0,0,0,0,0,0,0,0,0
Flora,7,0,0,0,7,97,1,93,3,1
Flossmoor,11,0,1,3,7,244,15,215,14,0
Forest Park,66,1,6,32,27,531,70,415,46,0
Forest View,0,0,0,0,0,36,5,24,7,0
Fox Lake,17,0,4,3,10,256,33,215,8,0
Fox River Grove,9,0,1,0,8,62,9,51,2,3
Frankfort,9,0,1,0,8,187,21,154,12,2
Franklin Park,47,0,14,6,27,242,67,151,24,4
Freeburg,2,0,0,1,1,29,7,18,4,0
Freeport,49,1,20,7,21,572,89,468,15,5
Fulton,9,0,0,0,9,48,9,36,3,0
Galena,1,0,0,0,1,85,12,71,2,0
Geneva,6,0,0,1,5,154,27,125,2,0
Genoa,12,0,5,0,7,65,3,60,2,0
Georgetown,16,1,3,1,11,72,17,49,6,0
Germantown,2,0,0,0,2,18,0,18,0,0
Gibson City,11,0,3,0,8,8,3,5,0,0
Gifford,0,0,0,0,0,3,0,3,0,0
Gilberts,3,0,1,0,2,20,2,18,0,0
Gilman,1,0,0,0,1,53,5,48,0,0
Girard,14,0,3,1,10,14,4,9,1,0
Glasford,1,0,0,0,1,1,1,0,0,0
Glen Carbon,9,0,0,0,9,129,14,114,1,0
Glendale Heights,18,0,0,12,6,397,32,332,33,2
Glen Ellyn,21,0,8,5,8,217,27,179,11,3
Glenview,34,0,7,5,22,422,60,331,31,1
Glenwood,11,0,0,6,5,55,21,30,4,0
Godley,0,0,0,0,0,6,3,1,2,0
Golf,0,0,0,0,0,3,0,3,0,0
Goodfield,0,0,0,0,0,27,1,26,0,0
Grafton,0,0,0,0,0,22,5,16,1,0
Grand Ridge,0,0,0,0,0,0,0,0,0,0
Grandview,2,0,0,0,2,24,7,17,0,0
Granite City,219,1,34,36,148,729,283,316,130,13
Grantfork,1,0,0,0,1,3,1,1,1,0
Grayslake,27,0,5,3,19,168,28,134,6,0
Greenfield,4,0,0,0,4,12,2,9,1,0
Greenup,2,0,0,0,2,29,6,22,1,0
Greenville,14,1,0,2,11,100,10,83,7,1
Gurnee,44,0,17,14,13,"1,085",53,"1,007",25,1
Hainesville,0,0,0,0,0,46,5,39,2,0
Hamel,0,0,0,0,0,7,4,2,1,0
Hampshire,11,0,1,0,10,23,13,10,0,0
Hampton,2,0,0,0,2,9,3,5,1,0
Hanover Park,43,0,7,12,24,194,35,147,12,0
Harrisburg,49,0,7,5,37,325,111,207,7,2
Hartford,2,0,1,0,1,24,2,22,0,0
Harvard,8,0,3,0,5,64,4,58,2,0
Havana,29,0,8,2,19,59,5,50,4,0
Hawthorn Woods,0,0,0,0,0,40,2,36,2,0
Hazel Crest,52,2,7,25,18,424,85,273,66,1
Henning,0,0,0,0,0,0,0,0,0,0
Henry,5,0,1,0,4,30,2,27,1,0
Herrin,35,0,5,7,23,376,92,264,20,1
Hickory Hills,16,1,2,4,9,189,20,157,12,1
Highland,9,0,2,1,6,79,9,63,7,0
Highland Park,24,0,3,2,19,198,26,150,22,1
Highwood,4,0,1,1,2,33,0,33,0,0
Hillsboro,28,0,6,1,21,74,13,58,3,0
Hillsdale,0,0,0,0,0,1,0,0,1,0
Hinckley,0,0,0,0,0,20,3,17,0,0
Hinsdale,2,0,2,0,0,98,23,60,15,0
Hodgkins,1,0,0,0,1,299,5,292,2,0
Hoffman Estates,48,1,14,9,24,417,45,349,23,0
Homer,0,0,0,0,0,0,0,0,0,0
Homer Glen,9,0,1,2,6,149,31,107,11,1
Hometown,3,0,0,2,1,15,3,12,0,0
Homewood,46,1,9,23,13,786,55,678,53,2
Hoopeston,21,0,6,2,13,155,53,95,7,2
Hudson,0,0,0,0,0,4,1,3,0,0
Huntley,9,0,0,1,8,99,8,89,2,0
Ina,4,0,0,0,4,9,0,9,0,0
Indian Head Park,1,0,0,0,1,27,4,22,1,0
Indianola,0,0,0,0,0,0,0,0,0,0
Itasca,7,0,4,1,2,103,15,80,8,0
Jacksonville,65,0,7,6,52,519,72,435,12,2
Jerseyville,10,0,2,0,8,96,27,60,9,0
Johnsburg,2,0,2,0,0,112,5,102,5,0
Joliet,486,8,44,122,312,"2,312",449,"1,726",137,49
Justice,7,0,1,2,4,29,4,21,4,0
Kankakee,230,4,35,47,144,871,143,682,46,11
Kansas,0,0,0,0,0,0,0,0,0,0
Kenilworth,0,0,0,0,0,15,5,7,3,0
Kewanee,35,0,7,0,28,489,39,425,25,6
Kildeer,1,0,0,0,1,52,6,45,1,0
Kincaid,4,0,1,0,3,18,6,11,1,0
Kingston,0,0,0,0,0,7,0,6,1,0
Lacon,4,0,0,0,4,16,3,13,0,0
Ladd,3,0,0,0,3,2,0,2,0,0
La Grange,15,0,0,5,10,153,16,134,3,1
La Grange Park,5,0,0,2,3,62,16,46,0,0
La Harpe,0,0,0,0,0,3,3,0,0,0
Lake Bluff,1,0,0,1,0,43,7,36,0,0
Lake In the Hills,32,0,19,2,11,117,14,101,2,1
Lakemoor,6,0,2,0,4,21,2,19,0,0
Lake Villa,9,1,4,0,4,33,3,29,1,0
Lakewood,4,0,0,0,4,21,2,19,0,0
Lake Zurich,5,0,1,1,3,259,18,238,3,0
Lanark,0,0,0,0,0,1,0,1,0,0
Lansing,88,2,13,45,28,"1,525",116,"1,301",108,2
La Salle,0,0,0,0,0,103,9,92,2,0
Leland,0,0,0,0,0,2,0,2,0,0
Leland Grove,0,0,0,0,0,1,0,0,1,0
Lemont,22,0,13,1,8,142,15,113,14,0
Lenzburg,0,0,0,0,0,4,1,3,0,1
Le Roy,7,0,1,0,6,30,8,21,1,0
Lexington,1,0,1,0,0,1,1,0,0,0
Lincoln,52,0,5,2,45,253,38,204,11,2
Lincolnwood,15,0,0,5,10,380,40,317,23,3
Lindenhurst,13,1,8,1,3,58,6,48,4,0
Lisle,16,0,4,5,7,106,20,74,12,0
Litchfield,5,0,2,1,2,217,26,188,3,3
Loami,1,0,0,0,1,13,3,8,2,0
Lockport,17,0,2,5,10,177,31,137,9,3
Lombard,52,1,15,4,32,856,59,781,16,2
