city,zhvi,total_pop,med_income,med_age,male,female,race_w,race_aa,race_nat,race_as,race_api,race_oth,eth_hisp,eth_nonhisp,murder_mansl,rape,robbery,agg_assault,burglary,lar_theft,car_theft,arson,lat,long
Ladd,86540.17,1185,65972,42.9,587,598,1133,0,0,7,0,49,83,1102,0,0,0,3,0,2,0,0,41.3825348,-89.2189748
Lake Bluff,459437.17,10003,107039,42.7,4642,5361,8616,151,62,1207,0,129,762,9241,0,0,1,0,7,36,0,0,42.2789117,-87.8342362
Lake Forest,808297.42,21131,171913,46.6,10472,10659,18890,520,94,1836,7,142,1013,20118,0,0,0,0,0,0,0,0,42.2586342,-87.840625
Lake Villa,208693.58,35286,96024,40.3,17646,17640,32294,900,131,1733,17,858,3137,32149,1,4,0,4,3,29,1,0,42.4169651,-88.0739708
Lake Zurich,429947.17,42637,135146,42,21299,21338,36357,1008,145,5008,124,868,3441,39196,0,1,1,3,18,238,3,0,42.1969689,-88.0934108
Lakewood,94631.75,300,40972,33.8,148,152,300,0,0,0,0,0,0,300,0,0,0,4,2,19,0,0,39.325041,-88.8995161
Lanark,195972.25,2451,60469,51.3,1181,1270,2352,23,51,14,0,76,113,2338,0,0,0,0,0,1,0,0,42.1022465,-89.8334527
Lansing,123031.58,28960,52028,41.4,12583,16377,15055,12353,461,300,0,1559,4377,24583,2,13,45,28,116,1301,108,2,41.5647575,-87.538931
Latham,95756.92,531,54282,40.8,272,259,515,2,30,0,0,0,17,514,0,0,0,0,0,0,0,0,39.9686517,-89.1623092
Lawndale,67263,83,66250,46.9,45,38,83,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,40.2180969,-89.2825925
Lawrenceville,52450.83,7166,41834,43.7,3530,3636,6936,204,80,71,9,172,217,6949,0,0,0,0,0,0,0,0,38.7292138,-87.6816927
Le Roy,127786.67,4389,72798,43,2193,2196,4373,11,18,0,0,5,0,4389,0,1,0,6,8,21,1,0,40.3519795,-88.764237
Leaf River,102337.25,1839,57847,51.3,859,980,1822,25,0,1,2,0,23,1816,0,0,0,0,0,0,0,0,42.1255813,-89.4037207
Lee,133105.58,484,75417,39.6,257,227,476,13,2,0,0,3,10,474,0,0,0,0,0,0,0,0,41.7950293,-88.9414786
Leland,159956.67,1759,66971,42.8,907,852,1737,0,14,0,0,26,176,1583,0,0,0,0,0,2,0,0,41.6125306,-88.7995237
Lemont,383065.42,23422,93489,46.4,11452,11970,22330,292,182,840,0,138,1524,21898,0,13,1,8,15,113,14,0,41.673642,-88.0017261
Lena,118058.08,3876,53455,48.7,1966,1910,3840,26,0,10,0,16,73,3803,0,0,0,0,0,0,0,0,42.3794586,-89.8223426
Leonore,61663.83,77,66250,38.8,39,38,71,0,0,0,0,6,6,71,0,0,0,0,0,0,0,0,41.1894788,-88.9806354
Lerna,101562.5,1315,57292,37,688,627,1300,5,0,33,0,0,8,1307,0,0,0,0,0,0,0,0,39.4183688,-88.2886551
Lewistown,66962.58,3628,56811,46.3,1818,1810,3554,33,28,0,7,37,70,3558,0,0,0,0,0,0,0,0,40.3930973,-90.1548421
Lexington,142664,3058,65547,41.1,1453,1605,3022,31,14,4,0,0,13,3045,0,1,0,0,1,0,0,0,40.6414237,-88.7834001
Abingdon,59676.67,3892,44570,39.4,1731,2161,3865,55,62,0,0,0,39,3853,0,0,0,0,0,0,0,0,40.8044833,-90.4017954
Adair,62941.75,444,68594,54.6,274,170,444,0,0,0,0,0,12,432,0,0,0,0,0,0,0,0,40.4189309,-90.4967942
Addison,263669.5,39216,64915,36.7,19281,19935,29293,1812,401,3905,38,4986,15603,23613,1,18,6,36,65,361,38,4,41.931696,-87.9889556
Albany,117470.75,1121,55000,45.4,531,590,1119,0,2,0,0,2,47,1074,0,1,0,0,2,4,0,0,41.7894748,-90.2192941
Albion,55956,3351,49831,43.4,1641,1710,3262,45,34,25,14,14,67,3284,0,0,0,0,0,0,0,0,38.3775484,-88.0561465
Aledo,94422.17,5213,53859,46.8,2527,2686,5118,54,10,58,0,11,80,5133,0,0,0,0,3,23,0,0,41.1997568,-90.7493063
Alexis,72806.08,1467,57250,44,760,707,1445,90,21,0,2,0,13,1454,0,0,0,0,7,4,4,0,41.0633703,-90.5559675
Algonquin,263435.33,32739,102698,41.6,16010,16729,29116,503,97,2856,11,614,2271,30468,0,7,4,16,18,243,4,0,42.1655801,-88.2942493
Alhambra,176612.58,1796,73519,44.7,838,958,1794,0,0,0,0,2,8,1788,0,0,0,0,0,0,0,0,38.88838,-89.7314813
Allendale,70443.08,1249,63125,35.5,596,653,1244,0,0,5,0,34,41,1208,0,0,0,0,0,0,0,0,38.5267143,-87.7097495
Allerton,89129.17,346,59583,41,162,184,336,4,0,5,0,4,3,343,0,0,0,0,0,0,0,0,39.9161024,-87.9352579
Alpha,93432.75,906,55682,42.4,442,464,891,3,0,0,0,15,12,894,0,0,0,0,0,0,0,0,41.1917031,-90.3801274
Alsip,182371.42,22390,56239,36.2,11245,11145,15813,4769,159,318,51,1894,5072,17318,2,0,16,6,66,329,32,1,41.6689223,-87.7386619
Altamont,99453.75,4136,48789,39.9,2118,2018,4120,15,4,0,0,5,12,4124,0,1,0,1,13,25,0,1,39.061988,-88.7481108
Alto Pass,115071.83,505,73203,50.3,239,266,433,0,0,29,0,43,84,421,0,0,0,0,0,0,0,0,37.5703276,-89.3175879
Alton,72209.83,31059,43406,41.7,14535,16524,24328,7077,393,406,55,206,720,30339,8,26,25,112,228,703,63,8,38.8906038,-90.1842764
Altona,73854,937,54965,37,497,440,902,32,0,6,0,0,16,921,0,0,0,0,0,0,0,0,41.1147594,-90.1645637
