Shabbona,1454,742,712,1446,4,4,4,0,0,24,1430,58125,49.6,146266.5,0,0,0,0,0,0,0,0,41.7680851,-88.8770311
Martinton,825,444,381,808,8,7,2,0,13,29,796,70179,48.4,98836.17,0,0,0,0,0,0,0,0,40.9158671,-87.7253124
Altona,937,497,440,902,32,0,6,0,0,16,921,54965,37,73854,0,0,0,0,0,0,0,0,41.1147594,-90.1645637
Aurora,41802.8,20875.2,20927.6,25227,5089.6,553.6,3328.8,79.2,9099.4,18531.4,23271.4,83248,34.18,226807.6,4,68,94,372,319,1860,122,9,41.7605849,-88.3200715
Wilmington,11540,5857,5683,10974,120,167,121,10,309,736,10804,61090,46.5,156914.58,0,0,0,0,0,0,0,0,39.4806831,-90.4867659
Monroe Center,821,439,382,817,4,3,2,0,3,38,783,60000,55.7,135669.67,0,0,0,0,0,0,0,0,42.0983583,-89.000655
Colona,6827,3532,3295,6798,304,29,33,0,14,829,5998,64552,42.4,127835.17,0,0,0,0,0,0,0,0,41.4839233,-90.3531827
Dwight,4812,2485,2327,4736,92,0,38,0,8,124,4688,62669,45.5,115473,0,0,2,3,1,30,7,0,41.0944767,-88.4250597
Port Byron,4750,2396,2354,4561,66,93,82,0,216,278,4472,68774,41.3,208954.33,0,0,0,0,0,0,0,0,41.6064219,-90.3354061
Pesotum,806,390,416,781,1,9,16,82,11,93,713,69750,44.7,129452.58,0,0,0,0,0,0,0,0,39.9147532,-88.2733827
Schiller Park,11704,6071,5633,9788,156,510,838,0,1177,2894,8810,54617,40.8,235667.5,0,2,6,9,18,178,23,1,41.9558637,-87.8708965
Kempton,445,204,241,439,0,6,0,0,0,1,444,55714,37.6,55753.75,0,0,0,0,0,0,0,0,40.9355888,-88.237273
Orangeville,1425,804,621,1418,0,0,1,0,6,9,1416,50893,43.5,117099.42,0,0,0,0,0,0,0,0,42.4683453,-89.6440073
Gardner,2465,1257,1208,2412,6,2,38,0,7,150,2315,62237,44.9,138133.08,0,0,0,0,0,0,0,0,41.1855879,-88.3097828
Park Forest,21989,10285,11704,6654,14967,213,130,0,866,1153,20836,51324,38.7,79485.33,1,4,24,32,75,218,51,7,41.4914236,-87.6744891
Maple Park,4024,1974,2050,3933,81,27,37,0,21,131,3893,89205,42.7,255532.33,0,1,0,0,2,6,0,0,41.9075282,-88.5992494
Oak Brook,10136,4653,5483,7043,340,65,2808,0,115,364,9772,103464,58.7,799323.25,0,3,3,4,22,514,16,0,41.8328085,-87.9289504
Gifford,1239,627,612,1216,21,2,0,0,0,25,1214,74792,42.8,135050.33,0,0,0,0,0,3,0,0,40.305868,-88.0211489
Matherville,743,359,384,730,0,2,17,0,1,81,662,59750,33.6,76926.67,0,0,0,0,0,0,0,0,41.2597571,-90.6079133
Elburn,10246,4863,5383,9623,357,118,279,0,46,1193,9053,104516,41,297940.83,0,0,0,0,6,7,0,0,41.8922499,-88.4723014
Shorewood,18796,8945,9851,16550,1081,127,822,0,858,2277,16519,101911,41.5,259544.67,0,6,1,7,9,88,4,1,41.5200305,-88.2017293
Danvers,2057,1034,1023,2035,35,26,37,0,0,10,2047,83750,39.6,137779.67,0,0,0,0,0,2,0,0,40.5294818,-89.1773055
Minonk,2519,1213,1306,2472,34,0,16,0,27,39,2480,65208,40.3,79760.17,0,0,0,0,2,15,3,0,40.9044778,-89.0345224
Melrose Park,23506,11994.5,11511.5,15897,1151.5,196,351.5,6.5,6319.5,16107.5,7398.5,55381,35,202663.835,0,7,27,51,68,176,72,4,41.9005865,-87.8567277
Savanna,4188,2005,2183,3973,159,22,67,0,38,205,3983,42969,48.2,57082.92,0,3,0,11,28,66,4,1,42.0944672,-90.1567944
Lena,3876,1966,1910,3840,26,0,10,0,16,73,3803,53455,48.7,118058.08,0,0,0,0,0,0,0,0,42.3794586,-89.8223426
Crete,15225,7529,7696,10203,4551,108,170,0,576,1101,14124,69491,48.6,181169.83,0,2,1,14,16,108,8,1,41.4444791,-87.6314312
Berkeley,5161,2585,2576,2787,1491,70,210,57,651,1906,3255,64934,40.3,199046,0,1,1,3,6,40,3,0,41.8889194,-87.9033956
Heyworth,4614,2343,2271,4555,66,14,107,64,11,103,4511,78565,36,163030.58,0,0,0,0,0,0,0,0,40.3133698,-88.9736901
Bushnell,3164,1651,1513,3101,31,8,28,0,0,0,3164,44981,43.1,58177.92,0,0,0,0,0,0,0,0,40.5528183,-90.50624
New Lenox,34945,17167,17778,34238,340,91,372,29,335,2296,32649,108154,38.7,291395.25,0,13,7,15,17,272,10,1,41.5119761,-87.9656098
Peoria,16038,7721,8317,10217,5723.66666666667,190,305,4,545.666666666667,1050.66666666667,14987.3333333333,33312.6666666667,37.4666666666667,60331.0266666667,22,68,201,569,890,3197,422,50,40.6936488,-89.5889864
Buffalo Grove,41392,20239,21153,30252,1130,350,9397,88,1042,2260,39132,111548,41.8,343322.25,0,2,1,4,42,216,10,0,42.1514146,-87.959794
Fairmount,1341,653,688,1337,3,6,1,0,0,14,1327,63417,39.3,102486.08,0,0,0,0,0,3,0,0,40.0455911,-87.8305838
Sibley,413,240,173,413,3,0,0,0,0,3,410,46250,43.3,68746.33,0,0,0,0,0,0,0,0,40.5869788,-88.3811648
Chadwick,1289,626,663,1286,10,0,8,8,3,28,1261,55481,36.1,96161.58,0,0,0,0,0,0,0,0,42.0133599,-89.8906765
Oakwood,3017,1404,1613,2940,18,6,19,0,40,88,2929,60068,44.5,108128,0,1,0,0,5,8,0,0,40.1161471,-87.7783592
Pekin,42059,20686,21373,40945,975,381,310,52,162,879,41180,53504,40.8,91370.58,0,0,0,0,0,0,0,0,40.5675388,-89.640658
Macomb,20698,9693,11005,18433,1761,167,762,61,127,754,19944,42013,27.9,93144.67,1,19,2,34,36,185,7,1,40.4592076,-90.6717971
London Mills,590,302,288,590,0,16,0,0,0,0,590,51875,44,58828.92,0,0,0,0,0,0,0,0,40.7105947,-90.2662355
Bradford,1300,667,633,1274,24,0,7,0,2,25,1275,55417,44.4,70070.33,0,0,0,0,0,0,0,0,41.1772594,-89.6575977
Rockford,22782.875,11100.125,11682.75,16967.5,4810,259.375,853,28.625,722.625,3792.25,18990.625,47194.25,38.85,81310.4375,23,133,346,1525,1169,3752,447,64,42.2711311,-89.0939952
Harvard,13681,6752,6929,12903,174,72,10,41,772,5605,8076,58264,34.1,168602.08,0,3,0,5,4,58,2,0,42.422241,-88.6137101
Calumet City,36955,16050,20905,8642,27669,348,82,39,596,5596,31359,42718,37.1,100661.42,5,36,107,39,205,586,189,4,41.6155909,-87.5294871
Bolingbrook,37224,18546,18678,19590,8197.5,234,5099.5,23,6109,9471.5,27752.5,97642.5,35.3,244200.625,1,23,17,71,60,477,55,3,41.6986416,-88.0683955
Wheaton,30067.5,14750,15317.5,26616,1517,181,2306.5,112.5,293,1733,28334.5,101130,37.75,375121.915,0,16,8,15,64,554,11,2,41.8661403,-88.1070127
Tremont,4223,2116,2107,4121,10,19,98,0,7,58,4165,80220,36.6,159174,0,0,0,0,0,0,0,0,40.5275392,-89.4925979
Lincolnshire,8186,3900,4286,7216,95,5,978,0,40,237,7949,102632,53.3,482420.08,0,0,0,0,0,0,0,0,42.1900249,-87.9084039
Union Hill,58,33,25,58,0,0,0,0,0,0,58,62188,24.5,125272,0,0,0,0,0,0,0,0,41.1075321,-88.1467188
