zipcode,zhvi
60002,203155.50
60004,371788.75
60005,375617.67
60007,290179.50
60008,257214.25
60010,503737.00
60012,311768.92
60013,237906.58
60014,232307.17
60015,489269.25
60016,285147.67
60018,274593.83
60020,165690.42
60021,243928.17
60022,1037845.67
60025,530058.75
60026,613297.75
60029,812012.75
60030,219686.75
60031,243986.50
60033,168602.08
60034,172298.83
60035,533831.83
60040,321815.50
60041,172814.33
60042,178588.00
60043,1360529.67
60044,459437.17
60045,808297.42
60046,208693.58
60047,429947.17
60048,437814.00
60050,191655.42
60051,197360.08
60053,331733.25
60056,335741.50
60060,240040.42
60061,330956.83
60062,566148.83
60064,98365.50
60067,382989.08
60068,452986.67
60069,482420.08
60070,362579.25
60071,250013.33
60072,288286.00
60073,157523.17
60074,296980.92
60076,335839.25
60077,329610.83
60081,268409.83
60083,245661.08
60084,240301.58
60085,122977.17
60087,143512.25
60089,343322.25
60090,244433.58
60091,761395.17
60093,1125064.83
60096,175180.17
60097,157461.83
60098,209509.83
60099,136118.08
60101,263669.50
60102,263435.33
60103,289341.25
60104,167169.42
60106,243386.33
60107,210170.75
60108,315705.00
60109,208048.42
60110,170098.75
60111,193428.58
60112,170664.42
60113,113327.92
60115,144795.58
60118,273997.25
60119,297940.83
60120,183977.50
60123,194082.83
60124,311751.58
60126,448212.25
60129,133984.08
60130,278529.58
60131,211021.25
60133,217028.25
60134,342947.08
60135,172553.00
60136,272952.42
60137,414373.75
60139,219150.33
60140,255261.08
60142,264223.33
60143,326177.08
60144,247508.58
60145,195983.17
60146,168965.50
60147,293310.50
60148,277436.92
60150,144915.67
60151,255532.33
60152,235011.58
60153,163066.75
60154,242953.00
60155,178354.67
60156,235848.83
60157,345948.00
60160,204312.00
60162,196001.50
60163,199046.00
60164,201015.67
60165,167461.92
60169,259923.50
60171,227787.33
60172,279064.42
60173,384877.83
60174,277503.83
60175,392820.50
60176,235667.50
60177,238108.92
60178,204574.08
60180,244814.00
60181,243959.67
60183,214764.00
60184,503301.33
60185,242023.50
60187,348225.58
