Zip Code,City
60001,Alden
60002,Antioch
60004,Arlington Heights
60005,Arlington Heights
60006,Arlington Heights
60007,Elk Grove Village
60008,Rolling Meadows
60009,Elk Grove Village
60010,Barrington
60011,Barrington
60012,Crystal Lake
60013,Cary
60014,Crystal Lake
60015,Deerfield
60016,Des Plaines
60017,Des Plaines
60018,Des Plaines
60019,Des Plaines
60020,Fox Lake
60021,Fox River Grove
60022,Glencoe
60025,Glenview
60026,Glenview
60029,Golf
60030,Grayslake
60031,Gurnee
60033,Harvard
60034,Hebron
60035,Highland Park
60037,Fort Sheridan
60038,Palatine
60039,Crystal Lake
60040,Highwood
60041,Ingleside
60042,Island Lake
60043,Kenilworth
60044,Lake Bluff
60045,Lake Forest
60046,Lake Villa
60047,Lake Zurich
60048,Libertyville
60049,Long Grove
60050,Mchenry
60051,Mchenry
60053,Morton Grove
60055,Palatine
60056,Mount Prospect
60060,Mundelein
60061,Vernon Hills
60062,Northbrook
60064,North Chicago
60065,Northbrook
60067,Palatine
60068,Park Ridge
60069,Lincolnshire
60070,Prospect Heights
60071,Richmond
60072,Ringwood
60073,Round Lake
60074,Palatine
60075,Russell
60076,Skokie
60077,Skokie
60078,Palatine
60079,Waukegan
60081,Spring Grove
60082,Techny
60083,Wadsworth
60084,Wauconda
60085,Waukegan
60086,North Chicago
60087,Waukegan
60088,Great Lakes
60089,Buffalo Grove
60090,Wheeling
60091,Wilmette
60092,Libertyville
60093,Winnetka
60094,Palatine
60095,Palatine
60096,Winthrop Harbor
60097,Wonder Lake
60098,Woodstock
60099,Zion
60101,Addison
60102,Algonquin
60103,Bartlett
60104,Bellwood
60105,Bensenville
60106,Bensenville
60107,Streamwood
60108,Bloomingdale
60109,Burlington
60110,Carpentersville
60111,Clare
60112,Cortland
60113,Creston
60115,Dekalb
60116,Carol Stream
60117,Bloomingdale
60118,Dundee
60119,Elburn
60120,Elgin
60121,Elgin
60122,Carol Stream
60123,Elgin
60124,Elgin
60125,Carol Stream
60126,Elmhurst
60128,Carol Stream
60129,Esmond
60130,Forest Park
60131,Franklin Park
60132,Carol Stream
60133,Hanover Park
60134,Geneva
60135,Genoa
60136,Gilberts
60137,Glen Ellyn
60138,Glen Ellyn
60139,Glendale Heights
60140,Hampshire
60141,Hines
60142,Huntley
60143,Itasca
60144,Kaneville
60145,Kingston
60146,Kirkland
60147,Lafox
60148,Lombard
60150,Malta
60151,Maple Park
60152,Marengo
60153,Maywood
60154,Westchester
60155,Broadview
60156,Lake In The Hills
60157,Medinah
60159,Schaumburg
60160,Melrose Park
60161,Melrose Park
60162,Hillside
60163,Berkeley
60164,Melrose Park
60165,Stone Park
60168,Schaumburg
60169,Hoffman Estates
60170,Plato Center
60171,River Grove
60172,Roselle
60173,Schaumburg
60174,Saint Charles
60175,Saint Charles
60176,Schiller Park
60177,South Elgin
60178,Sycamore
60179,Hoffman Estates
60180,Union
60181,Villa Park
60183,Wasco
60184,Wayne
60185,West Chicago
60186,West Chicago
60187,Wheaton
60188,Carol Stream
60189,Wheaton
60190,Winfield
60191,Wood Dale
60192,Hoffman Estates
60193,Schaumburg
60194,Schaumburg
60195,Schaumburg
60196,Schaumburg
60197,Carol Stream
60199,Carol Stream
60201,Evanston
60202,Evanston
60203,Evanston
60204,Evanston
60208,Evanston
60209,Evanston
60296,Mchenry
60297,Mchenry
60301,Oak Park
60302,Oak Park
60303,Oak Park
60304,Oak Park
60305,River Forest
60399,Wood Dale
60401,Beecher
60402,Berwyn
60403,Crest Hill
60404,Shorewood
60406,Blue Island
60407,Braceville
60408,Braidwood
60409,Calumet City
60410,Channahon
60411,Chicago Heights
60412,Chicago Heights
60415,Chicago Ridge
60416,Coal City
60417,Crete
60419,Dolton
60420,Dwight
60421,Elwood
60422,Flossmoor
60423,Frankfort
60424,Gardner
60425,Glenwood
60426,Harvey
60428,Markham
60429,Hazel Crest
60430,Homewood
60431,Joliet
60432,Joliet
60433,Joliet
60434,Joliet
60435,Joliet
60436,Joliet
60437,Kinsman
60438,Lansing
60439,Lemont
60440,Bolingbrook
60441,Lockport
60442,Manhattan
60443,Matteson
60444,Mazon
60445,Midlothian
60446,Romeoville
60447,Minooka
60448,Mokena
60449,Monee
60450,Morris
60451,New Lenox
60452,Oak Forest
60453,Oak Lawn
60454,Oak Lawn
60455,Bridgeview
60456,Hometown
60457,Hickory Hills
60458,Justice
60459,Burbank
60460,Odell
60461,Olympia Fields
60462,Orland Park
60463,Palos Heights
60464,Palos Park
60465,Palos Hills
60466,Park Forest
60467,Orland Park
60468,Peotone
60469,Posen
60470,Ransom
60471,Richton Park
60472,Robbins
60473,South Holland
60474,South Wilmington
60475,Steger
60476,Thornton
60477,Tinley Park
60478,Country Club Hills
60479,Verona
60480,Willow Springs
60481,Wilmington
60482,Worth
60483,Tinley Park
60487,Tinley Park
60490,Bolingbrook
60491,Homer Glen
60499,Bedford Park
60501,Summit Argo
60502,Aurora
60503,Aurora
60504,Aurora
60505,Aurora
60506,Aurora
60507,Aurora
60510,Batavia
60511,Big Rock
60512,Bristol
60513,Brookfield
60514,Clarendon Hills
60515,Downers Grove
60516,Downers Grove
60517,Woodridge
60518,Earlville
60519,Eola
60520,Hinckley
60521,Hinsdale
60522,Hinsdale
60523,Oak Brook
60525,La Grange
60526,La Grange Park
60527,Willowbrook
60530,Lee
60531,Leland
60532,Lisle
60534,Lyons
60536,Millbrook
60537,Millington
60538,Montgomery
60539,Mooseheart
60540,Naperville
60541,Newark
60542,North Aurora
60543,Oswego
60544,Plainfield
60545,Plano
60546,Riverside
60548,Sandwich
60549,Serena
60550,Shabbona
60551,Sheridan
60552,Somonauk
60553,Steward
60554,Sugar Grove
60555,Warrenville
60556,Waterman
60557,Wedron
60558,Western Springs
60559,Westmont
60560,Yorkville
60561,Darien
60563,Naperville
60564,Naperville
60565,Naperville
60566,Naperville
60567,Naperville
60568,Aurora
60570,Hinsdale
60572,Aurora
60585,Plainfield
60586,Plainfield
60597,Fox Valley
60598,Aurora
60599,Fox Valley
60601,Chicago
60602,Chicago
60603,Chicago
60604,Chicago
60605,Chicago
60606,Chicago
60607,Chicago
60608,Chicago
60609,Chicago
60610,Chicago
60611,Chicago
60612,Chicago
60613,Chicago
60614,Chicago
60615,Chicago
60616,Chicago
60617,Chicago
60618,Chicago
60619,Chicago
60620,Chicago
60621,Chicago
60622,Chicago
60623,Chicago
60624,Chicago
60625,Chicago
60626,Chicago
60628,Chicago
60629,Chicago
60630,Chicago
60631,Chicago
60632,Chicago
60633,Chicago
60634,Chicago
60636,Chicago
60637,Chicago
60638,Chicago
60639,Chicago
60640,Chicago
60641,Chicago
60643,Chicago
60644,Chicago
60645,Chicago
60646,Chicago
60647,Chicago
60649,Chicago
60651,Chicago
60652,Chicago
60653,Chicago
60654,Chicago
60655,Chicago
60656,Chicago
60657,Chicago
60659,Chicago
60660,Chicago
60661,Chicago
60663,Chicago
60664,Chicago
60666,Chicago
60668,Chicago
60669,Chicago
60670,Chicago
60673,Chicago
60674,Chicago
60675,Chicago
60677,Chicago
60678,Chicago
60679,Chicago
60680,Chicago
60681,Chicago
60682,Chicago
60684,Chicago
60685,Chicago
60686,Chicago
60687,Chicago
60688,Chicago
60689,Chicago
60690,Chicago
60691,Chicago
60693,Chicago
60694,Chicago
60695,Chicago
60696,Chicago
60697,Chicago
60699,Chicago
60701,Chicago
60706,Harwood Heights
60707,Elmwood Park
60712,Lincolnwood
60714,Niles
60803,Alsip
60804,Cicero
60805,Evergreen Park
60827,Riverdale
60901,Kankakee
60910,Aroma Park
60911,Ashkum
60912,Beaverville
60913,Bonfield
60914,Bourbonnais
60915,Bradley
60917,Buckingham
60918,Buckley
60919,Cabery
60920,Campus
60921,Chatsworth
60922,Chebanse
60924,Cissna Park
60926,Claytonville
60927,Clifton
60928,Crescent City
60929,Cullom
60930,Danforth
60931,Donovan
60932,East Lynn
60933,Elliott
60934,Emington
60935,Essex
60936,Gibson City
60938,Gilman
60939,Goodwine
60940,Grant Park
60941,Herscher
60942,Hoopeston
60944,Hopkins Park
60945,Iroquois
60946,Kempton
60948,Loda
60949,Ludlow
60950,Manteno
60951,Martinton
60952,Melvin
60953,Milford
60954,Momence
60955,Onarga
60956,Papineau
60957,Paxton
60959,Piper City
60960,Rankin
60961,Reddick
60962,Roberts
60963,Rossville
60964,Saint Anne
60966,Sheldon
60967,Stockland
60968,Thawville
60969,Union Hill
60970,Watseka
60973,Wellington
60974,Woodland
61001,Apple River
61006,Ashton
61007,Baileyville
61008,Belvidere
61010,Byron
61011,Caledonia
61012,Capron
61013,Cedarville
61014,Chadwick
61015,Chana
61016,Cherry Valley
61018,Dakota
61019,Davis
61020,Davis Junction
61021,Dixon
61024,Durand
61025,East Dubuque
61027,Eleroy
61028,Elizabeth
61030,Forreston
61031,Franklin Grove
61032,Freeport
61036,Galena
61037,Galt
61038,Garden Prairie
61039,German Valley
61041,Hanover
61042,Harmon
61043,Holcomb
61044,Kent
61046,Lanark
61047,Leaf River
61048,Lena
61049,Lindenwood
61050,Mc Connell
61051,Milledgeville
61052,Monroe Center
61053,Mount Carroll
61054,Mount Morris
61057,Nachusa
61058,Nelson
61059,Nora
61060,Orangeville
61061,Oregon
61062,Pearl City
61063,Pecatonica
61064,Polo
61065,Poplar Grove
61067,Ridott
61068,Rochelle
61070,Rock City
61071,Rock Falls
61072,Rockton
61073,Roscoe
61074,Savanna
61075,Scales Mound
61077,Seward
61078,Shannon
61079,Shirland
61080,South Beloit
61081,Sterling
61084,Stillman Valley
61085,Stockton
61087,Warren
61088,Winnebago
61089,Winslow
61091,Woosung
61101,Rockford
61102,Rockford
61103,Rockford
61104,Rockford
61105,Rockford
61106,Rockford
61107,Rockford
61108,Rockford
61109,Rockford
61110,Rockford
61111,Loves Park
61112,Rockford
61114,Rockford
61115,Machesney Park
61125,Rockford
61126,Rockford
61130,Loves Park
61131,Loves Park
61132,Loves Park
61201,Rock Island
61204,Rock Island
61230,Albany
61231,Aledo
61232,Andalusia
61233,Andover
61234,Annawan
61235,Atkinson
61236,Barstow
61237,Buffalo Prairie
61238,Cambridge
61239,Carbon Cliff
61240,Coal Valley
61241,Colona
61242,Cordova
61243,Deer Grove
61244,East Moline
61250,Erie
61251,Fenton
61252,Fulton
61254,Geneseo
61256,Hampton
61257,Hillsdale
61258,Hooppole
61259,Illinois City
61260,Joy
61261,Lyndon
61262,Lynn Center
61263,Matherville
61264,Milan
61265,Moline
61266,Moline
61270,Morrison
61272,New Boston
61273,Orion
61274,Osco
61275,Port Byron
61276,Preemption
61277,Prophetstown
61278,Rapids City
61279,Reynolds
61281,Sherrard
61282,Silvis
61283,Tampico
61284,Taylor Ridge
61285,Thomson
61299,Rock Island
61301,La Salle
61310,Amboy
61311,Ancona
61312,Arlington
61313,Blackstone
61314,Buda
61315,Bureau
61316,Cedar Point
61317,Cherry
61318,Compton
61319,Cornell
61320,Dalzell
61321,Dana
61322,Depue
61323,Dover
61324,Eldena
61325,Grand Ridge
61326,Granville
61327,Hennepin
61328,Kasbeer
61329,Ladd
61330,La Moille
61331,Lee Center
61332,Leonore
61333,Long Point
61334,Lostant
61335,Mc Nabb
61336,Magnolia
61337,Malden
61338,Manlius
61340,Mark
61341,Marseilles
61342,Mendota
61344,Mineral
61345,Neponset
61346,New Bedford
61348,Oglesby
61349,Ohio
61350,Ottawa
61353,Paw Paw
61354,Peru
61356,Princeton
61358,Rutland
61359,Seatonville
61360,Seneca
61361,Sheffield
61362,Spring Valley
61363,Standard
61364,Streator
61367,Sublette
61368,Tiskilwa
61369,Toluca
61370,Tonica
61371,Triumph
61372,Troy Grove
61373,Utica
61374,Van Orin
61375,Varna
61376,Walnut
61377,Wenona
61378,West Brooklyn
61379,Wyanet
61401,Galesburg
61402,Galesburg
61410,Abingdon
61411,Adair
61412,Alexis
61413,Alpha
61414,Altona
61415,Avon
61416,Bardolph
61417,Berwick
61418,Biggsville
61419,Bishop Hill
61420,Blandinsville
61421,Bradford
61422,Bushnell
61423,Cameron
61424,Camp Grove
61425,Carman
61426,Castleton
61427,Cuba
61428,Dahinda
61430,East Galesburg
61431,Ellisville
61432,Fairview
61433,Fiatt
61434,Galva
